epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,44512.3,0.34028,1.26581,0.86676,0.39882,0.94909,0.4633,0.39478,0.29227,1.19709,0.84249,0.000139768,0.000139768,0.000139768
79,44699.7,0.34392,1.26292,0.8651,0.39718,0.96658,0.46246,0.39687,0.30646,1.208,0.84079,0.000133946,0.000133946,0.000133946
80,44919.9,0.34493,1.2793,0.86659,0.39666,0.95901,0.46534,0.39647,0.30477,1.19096,0.8402,0.000128125,0.000128125,0.000128125
81,45116.1,0.34226,1.27371,0.86283,0.40915,0.92055,0.46729,0.4004,0.28925,1.19039,0.84157,0.000122304,0.000122304,0.000122304
82,45338.1,0.35585,1.2646,0.87641,0.40818,0.95666,0.47,0.40862,0.29462,1.19184,0.84136,0.000116483,0.000116483,0.000116483
83,45557.3,0.32985,1.25695,0.86418,0.41247,0.95519,0.46457,0.40013,0.2959,1.19391,0.83788,0.000110662,0.000110662,0.000110662
84,45772.2,0.34912,1.27556,0.87114,0.4027,0.95945,0.46354,0.39888,0.3011,1.18732,0.84165,0.00010484,0.00010484,0.00010484
85,45947.6,0.33334,1.26568,0.86206,0.40783,0.93896,0.46384,0.39904,0.29511,1.18082,0.84074,9.90192e-05,9.90192e-05,9.90192e-05
86,46141.8,0.33362,1.26104,0.86221,0.39976,0.91677,0.46809,0.39842,0.2959,1.19076,0.83969,9.3198e-05,9.3198e-05,9.3198e-05
87,46354.4,0.33223,1.25865,0.86549,0.4101,0.94807,0.46756,0.39941,0.28698,1.18679,0.83907,8.73768e-05,8.73768e-05,8.73768e-05
88,46576.9,0.33532,1.25621,0.86754,0.41389,0.90783,0.46811,0.40118,0.2945,1.18554,0.84073,8.15556e-05,8.15556e-05,8.15556e-05
89,46804.3,0.32732,1.26358,0.86451,0.42062,0.92792,0.47067,0.40256,0.28395,1.18248,0.83902,7.57344e-05,7.57344e-05,7.57344e-05
